Game Name	Game Link	Start date	Game Type	Mod	Player	Affiliation	Role	"Killed? (n=nk, d=day kill, l= lynch, m= modkill)"	"Victory? (0=yes,1=no)"	Game ended day	Include in DB?	Post Restriction	Special Rules	Sub for	Sub day	Night Actions
FRIDAY NIGHT LIGHTS (and by LIGHTS i mean TURBO)	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=10902068&page=90&fpart=all	2007-06-22	Turbo	VOX	Neil S	Wolves		l1	1	4	1					
FRIDAY NIGHT LIGHTS (and by LIGHTS i mean TURBO)	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=10902068&page=90&fpart=all	2007-06-22	Turbo	VOX	CPFB	Village	Seer	n1	0	4	1					shortline99
FRIDAY NIGHT LIGHTS (and by LIGHTS i mean TURBO)	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=10902068&page=90&fpart=all	2007-06-22	Turbo	VOX	bojtun	Village	Vanilla	l2	0	4	1					
FRIDAY NIGHT LIGHTS (and by LIGHTS i mean TURBO)	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=10902068&page=90&fpart=all	2007-06-22	Turbo	VOX	LuckayLuck	Village	Vanilla	n2	0	4	1					
FRIDAY NIGHT LIGHTS (and by LIGHTS i mean TURBO)	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=10902068&page=90&fpart=all	2007-06-22	Turbo	VOX	VoraciousReader	Village	Vanilla	l3	0	4	1					
FRIDAY NIGHT LIGHTS (and by LIGHTS i mean TURBO)	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=10902068&page=90&fpart=all	2007-06-22	Turbo	VOX	ASPoker8	Village	Vanilla	n3	0	4	1					
FRIDAY NIGHT LIGHTS (and by LIGHTS i mean TURBO)	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=10902068&page=90&fpart=all	2007-06-22	Turbo	VOX	GetThere1Time	Wolves		l4	1	4	1					
FRIDAY NIGHT LIGHTS (and by LIGHTS i mean TURBO)	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=10902068&page=90&fpart=all	2007-06-22	Turbo	VOX	lastchance	Village	Flying Great Pumpkin	s	0	4	1					ASPoker8
FRIDAY NIGHT LIGHTS (and by LIGHTS i mean TURBO)	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=10902068&page=90&fpart=all	2007-06-22	Turbo	VOX	shortline99	Village	Vanilla	s	0	4	1					
Thursday Afternoon Turbo Extravaganza!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=11394501&page=65&fpart=all	2007-07-26	Turbo	Tokyo!!	HerbieGRD	Village	Vanilla	l1	0	5	1					
Thursday Afternoon Turbo Extravaganza!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=11394501&page=65&fpart=all	2007-07-26	Turbo	Tokyo!!	Supine	Village	Vanilla	n1	0	5	1					
Thursday Afternoon Turbo Extravaganza!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=11394501&page=65&fpart=all	2007-07-26	Turbo	Tokyo!!	Neil S	Village	Vanilla	l2	0	5	1					
Thursday Afternoon Turbo Extravaganza!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=11394501&page=65&fpart=all	2007-07-26	Turbo	Tokyo!!	bojtun	Village	Vanilla	n2	0	5	1					
Thursday Afternoon Turbo Extravaganza!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=11394501&page=65&fpart=all	2007-07-26	Turbo	Tokyo!!	kokiri	Wolves		l3	1	5	1					
Thursday Afternoon Turbo Extravaganza!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=11394501&page=65&fpart=all	2007-07-26	Turbo	Tokyo!!	Jeremy517	Village	Vanilla	n3	0	5	1					
Thursday Afternoon Turbo Extravaganza!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=11394501&page=65&fpart=all	2007-07-26	Turbo	Tokyo!!	amplify	Wolves		l4	1	5	1					
Thursday Afternoon Turbo Extravaganza!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=11394501&page=65&fpart=all	2007-07-26	Turbo	Tokyo!!	NicholasP27	Village	Seer	n4	0	5	1					"amplify,DustinG,bluffblank,Slow Play Ray"
Thursday Afternoon Turbo Extravaganza!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=11394501&page=65&fpart=all	2007-07-26	Turbo	Tokyo!!	durron597	Village	Vanilla	l5	0	5	1					
Thursday Afternoon Turbo Extravaganza!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=11394501&page=65&fpart=all	2007-07-26	Turbo	Tokyo!!	metsandfinsfan	Wolves		c	1	5	1					
Thursday Afternoon Turbo Extravaganza!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=11394501&page=65&fpart=all	2007-07-26	Turbo	Tokyo!!	BluffBlank	Village	Vanilla	s	0	5	1					
Thursday Afternoon Turbo Extravaganza!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=11394501&page=65&fpart=all	2007-07-26	Turbo	Tokyo!!	Slow Play Ray	Village	Vanilla	s	0	5	1					
Thursday Afternoon Turbo Extravaganza!!	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=11394501&page=65&fpart=all	2007-07-26	Turbo	Tokyo!!	DustinG	Village	Vanilla	s	0	5	1					
Brace on my wrist TURBO	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13181161&page=8&fpart=all	2007-11-30	Turbo	Our House	chuckleslovakian	Village	Vanilla	n3	0	4	1					
Brace on my wrist TURBO	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13181161&page=8&fpart=all	2007-11-30	Turbo	Our House	chim17	Village	Vanilla	s	0	4	1					
Brace on my wrist TURBO	http://archives1.twoplustwo.com/showflat.php?Cat=0&Board=puzzles&Number=13181161&page=8&fpart=all	2007-11-30	Turbo	Our House	DustinG	Wolves		l4	1	4	1					
